incident_id,timestamp,type,user,source_ip,evidence,severity_score,is_external,kb_path
INC0001,2025-11-08 13:16:44,Privilege Escalation,admin,203.0.113.55,privilege_escalation auto_generated_detail_0,10,True,knowledge_articles\INC0001.md
INC0406,2025-11-10 01:54:00,Data Exfiltration,dave,10.0.0.37,external_transfer auto_generated_detail_839,10,False,knowledge_articles\INC0406.md
INC0088,2025-11-08 20:27:23,Privilege Escalation,bob,10.0.0.9,privilege_escalation auto_generated_detail_170,10,False,knowledge_articles\INC0088.md
INC0444,2025-11-10 05:06:22,Brute Force / Authentication Attack,admin,203.0.113.55,brute_force auto_generated_detail_920,10,True,knowledge_articles\INC0444.md
INC0086,2025-11-08 20:08:52,Privilege Escalation,dave,10.0.0.43,privilege_escalation auto_generated_detail_165,10,False,knowledge_articles\INC0086.md
INC0448,2025-11-10 05:13:24,Authentication Failure,admin,203.0.113.55,login_failed auto_generated_detail_924,10,True,knowledge_articles\INC0448.md
INC0460,2025-11-10 06:18:46,Data Exfiltration,bob,10.0.0.30,external_transfer auto_generated_detail_954,10,False,knowledge_articles\INC0460.md
INC0463,2025-11-10 06:34:10,Privilege Escalation,alice,10.0.0.46,privilege_escalation auto_generated_detail_959,10,False,knowledge_articles\INC0463.md
INC0477,2025-11-10 07:24:17,Data Exfiltration,dave,10.0.0.40,external_transfer auto_generated_detail_978,10,False,knowledge_articles\INC0477.md
INC0479,2025-11-10 07:37:21,Privilege Escalation,dave,10.0.0.25,privilege_escalation auto_generated_detail_982,10,False,knowledge_articles\INC0479.md
INC0480,2025-11-10 07:41:33,Data Exfiltration,bob,10.0.0.42,external_transfer auto_generated_detail_984,10,False,knowledge_articles\INC0480.md
INC0484,2025-11-10 07:55:55,Data Exfiltration,bob,10.0.0.39,external_transfer auto_generated_detail_991,10,False,knowledge_articles\INC0484.md
INC0497,2025-11-10 09:17:16,Privilege Escalation,alice,10.0.0.31,privilege_escalation auto_generated_detail_1022,10,False,knowledge_articles\INC0497.md
INC0066,2025-11-08 18:41:25,Privilege Escalation,bob,10.0.0.11,privilege_escalation auto_generated_detail_127,10,False,knowledge_articles\INC0066.md
INC0517,2025-11-10 11:16:23,Privilege Escalation,bob,10.0.0.16,privilege_escalation auto_generated_detail_1068,10,False,knowledge_articles\INC0517.md
INC0547,2025-11-10 13:43:52,Data Exfiltration,bob,10.0.0.46,external_transfer auto_generated_detail_1129,10,False,knowledge_articles\INC0547.md
INC0549,2025-11-10 13:49:44,Privilege Escalation,carol,10.0.0.45,privilege_escalation auto_generated_detail_1131,10,False,knowledge_articles\INC0549.md
INC0558,2025-11-10 14:32:54,Data Exfiltration,carol,10.0.0.23,external_transfer auto_generated_detail_1149,10,False,knowledge_articles\INC0558.md
INC0559,2025-11-10 14:37:26,Brute Force / Authentication Attack,admin,203.0.113.55,brute_force auto_generated_detail_1150,10,True,knowledge_articles\INC0559.md
INC0560,2025-11-10 14:40:49,Brute Force / Authentication Attack,carol,203.0.113.55,brute_force auto_generated_detail_1151,10,True,knowledge_articles\INC0560.md
INC0564,2025-11-10 14:49:36,Authentication Failure,admin,203.0.113.55,login_failed auto_generated_detail_1155,10,True,knowledge_articles\INC0564.md
INC0408,2025-11-10 02:01:01,Privilege Escalation,bob,10.0.0.37,privilege_escalation auto_generated_detail_843,10,False,knowledge_articles\INC0408.md
INC0403,2025-11-10 01:43:35,Privilege Escalation,bob,10.0.0.8,privilege_escalation auto_generated_detail_832,10,False,knowledge_articles\INC0403.md
