timestamp,user,source_ip,event,details
2025-11-08 13:16:44,admin,203.0.113.55,privilege_escalation,auto_generated_detail_0
2025-11-08 13:17:46,admin,203.0.113.55,login_failed,auto_generated_detail_1
2025-11-08 13:18:12,admin,203.0.113.55,login_failed,auto_generated_detail_2
2025-11-08 13:18:35,admin,203.0.113.55,brute_force,auto_generated_detail_3
2025-11-08 13:21:07,admin,203.0.113.55,login_failed,auto_generated_detail_4
2025-11-08 13:24:11,admin,203.0.113.55,brute_force,auto_generated_detail_5
2025-11-08 13:27:35,alice,10.0.0.24,file_access,auto_generated_detail_6
2025-11-08 13:28:07,dave,10.0.0.36,login_success,auto_generated_detail_7
2025-11-08 13:31:30,alice,10.0.0.20,sap_transaction,auto_generated_detail_8
2025-11-08 13:34:45,carol,10.0.0.47,login_success,auto_generated_detail_9
2025-11-08 13:36:51,dave,10.0.0.7,file_download,auto_generated_detail_10
2025-11-08 13:37:52,bob,10.0.0.31,file_access,auto_generated_detail_11
2025-11-08 13:41:08,alice,10.0.0.24,login_success,auto_generated_detail_12
2025-11-08 13:43:34,dave,10.0.0.45,file_access,auto_generated_detail_13
2025-11-08 13:45:11,carol,10.0.0.17,login_success,auto_generated_detail_14
2025-11-08 13:48:35,bob,10.0.0.42,file_access,auto_generated_detail_15
2025-11-08 13:50:37,dave,10.0.0.5,login_success,auto_generated_detail_16
2025-11-08 13:51:03,dave,10.0.0.27,login_success,auto_generated_detail_17
2025-11-08 13:53:01,svc_backup,10.0.0.38,file_download,auto_generated_detail_18
2025-11-08 13:55:52,alice,10.0.0.33,login_success,auto_generated_detail_19
2025-11-08 13:59:56,alice,10.0.0.10,login_success,auto_generated_detail_20
2025-11-08 14:04:53,carol,10.0.0.49,login_failed,auto_generated_detail_21
2025-11-08 14:08:27,bob,10.0.0.10,login_failed,auto_generated_detail_22
2025-11-08 14:09:23,dave,10.0.0.9,login_success,auto_generated_detail_23
2025-11-08 14:10:54,dave,10.0.0.29,file_access,auto_generated_detail_24
2025-11-08 14:14:21,bob,10.0.0.31,login_failed,auto_generated_detail_25
2025-11-08 14:19:14,admin,10.0.0.2,file_access,auto_generated_detail_26
2025-11-08 14:20:22,dave,10.0.0.36,config_change,auto_generated_detail_27
2025-11-08 14:23:26,alice,10.0.0.29,login_success,auto_generated_detail_28
2025-11-08 14:23:37,svc_sync,10.0.0.48,login_success,auto_generated_detail_29
2025-11-08 14:28:03,dave,10.0.0.34,email_sent,auto_generated_detail_30
2025-11-08 14:30:45,admin,10.0.0.34,file_access,auto_generated_detail_31
2025-11-08 14:32:13,bob,10.0.0.12,login_failed,auto_generated_detail_32
2025-11-08 14:36:54,svc_backup,10.0.0.40,login_success,auto_generated_detail_33
2025-11-08 14:37:13,alice,10.0.0.25,file_download,auto_generated_detail_34
2025-11-08 14:40:00,alice,10.0.0.17,file_download,auto_generated_detail_35
2025-11-08 14:40:50,alice,10.0.0.33,sap_transaction,auto_generated_detail_36
2025-11-08 14:45:32,dave,10.0.0.10,file_access,auto_generated_detail_37
2025-11-08 14:50:23,alice,10.0.0.35,file_download,auto_generated_detail_38
2025-11-08 14:54:09,svc_sync,10.0.0.36,config_change,auto_generated_detail_39
2025-11-08 14:56:01,dave,10.0.0.27,brute_force,auto_generated_detail_40
2025-11-08 14:59:22,bob,10.0.0.35,login_success,auto_generated_detail_41
2025-11-08 15:01:38,alice,10.0.0.23,login_success,auto_generated_detail_42
2025-11-08 15:06:31,alice,10.0.0.16,login_success,auto_generated_detail_43
2025-11-08 15:07:11,alice,10.0.0.4,file_download,auto_generated_detail_44
2025-11-08 15:07:57,carol,10.0.0.19,file_access,auto_generated_detail_45
2025-11-08 15:09:56,carol,10.0.0.48,email_sent,auto_generated_detail_46
2025-11-08 15:14:08,bob,10.0.0.32,sap_transaction,auto_generated_detail_47
2025-11-08 15:15:55,alice,10.0.0.44,login_success,auto_generated_detail_48
2025-11-08 15:19:41,bob,10.0.0.48,login_success,auto_generated_detail_49
2025-11-08 15:20:41,alice,10.0.0.48,login_success,auto_generated_detail_50
2025-11-08 15:21:46,bob,10.0.0.14,login_failed,auto_generated_detail_51
2025-11-08 15:23:07,bob,10.0.0.19,login_success,auto_generated_detail_52
2025-11-08 15:23:55,bob,10.0.0.37,login_success,auto_generated_detail_53
2025-11-08 15:28:41,dave,10.0.0.7,email_sent,auto_generated_detail_54
2025-11-08 15:30:52,alice,10.0.0.33,login_failed,auto_generated_detail_55
2025-11-08 15:34:27,admin,10.0.0.12,login_success,auto_generated_detail_56
2025-11-08 15:37:56,bob,10.0.0.31,login_success,auto_generated_detail_57
2025-11-08 15:42:50,carol,10.0.0.33,login_success,auto_generated_detail_58
2025-11-08 15:45:31,alice,10.0.0.5,login_failed,auto_generated_detail_59
2025-11-08 15:50:18,alice,10.0.0.22,login_success,auto_generated_detail_60
2025-11-08 15:54:32,carol,10.0.0.35,login_success,auto_generated_detail_61
2025-11-08 15:59:02,alice,10.0.0.13,login_success,auto_generated_detail_62
2025-11-08 15:59:46,carol,10.0.0.17,login_success,auto_generated_detail_63
2025-11-08 16:02:02,carol,10.0.0.4,file_access,auto_generated_detail_64
2025-11-08 16:05:46,carol,10.0.0.38,login_failed,auto_generated_detail_65
2025-11-08 16:08:09,alice,10.0.0.47,login_success,auto_generated_detail_66
2025-11-08 16:10:34,bob,10.0.0.44,file_access,auto_generated_detail_67
2025-11-08 16:14:38,bob,10.0.0.6,login_success,auto_generated_detail_68
2025-11-08 16:19:36,svc_sync,10.0.0.6,login_failed,auto_generated_detail_69
2025-11-08 16:24:05,bob,10.0.0.24,file_download,auto_generated_detail_70
2025-11-08 16:26:20,bob,10.0.0.12,login_success,auto_generated_detail_71
2025-11-08 16:31:08,dave,10.0.0.41,port_scan,auto_generated_detail_72
2025-11-08 16:35:48,alice,10.0.0.37,login_success,auto_generated_detail_73
2025-11-08 16:36:51,svc_backup,10.0.0.10,login_success,auto_generated_detail_74
2025-11-08 16:37:55,dave,10.0.0.11,login_success,auto_generated_detail_75
2025-11-08 16:39:52,dave,10.0.0.15,file_access,auto_generated_detail_76
2025-11-08 16:42:17,carol,10.0.0.18,file_copied,auto_generated_detail_77
2025-11-08 16:42:53,alice,10.0.0.29,sap_transaction,auto_generated_detail_78
2025-11-08 16:43:25,alice,10.0.0.10,file_access,auto_generated_detail_79
2025-11-08 16:45:49,alice,10.0.0.30,login_failed,auto_generated_detail_80
2025-11-08 16:49:37,carol,10.0.0.9,login_success,auto_generated_detail_81
2025-11-08 16:51:03,carol,10.0.0.25,login_failed,auto_generated_detail_82
2025-11-08 16:52:28,bob,10.0.0.4,login_success,auto_generated_detail_83
2025-11-08 16:52:58,admin,10.0.0.15,file_access,auto_generated_detail_84
2025-11-08 16:54:00,bob,10.0.0.37,file_copied,auto_generated_detail_85
2025-11-08 16:57:38,svc_sync,10.0.0.49,login_success,auto_generated_detail_86
2025-11-08 16:59:49,admin,10.0.0.13,file_download,auto_generated_detail_87
2025-11-08 17:00:11,alice,10.0.0.23,config_change,auto_generated_detail_88
2025-11-08 17:03:51,dave,10.0.0.49,sap_transaction,auto_generated_detail_89
2025-11-08 17:06:17,alice,10.0.0.46,login_success,auto_generated_detail_90
2025-11-08 17:06:46,admin,10.0.0.16,login_success,auto_generated_detail_91
2025-11-08 17:10:51,bob,10.0.0.16,login_success,auto_generated_detail_92
2025-11-08 17:12:39,bob,10.0.0.19,file_download,auto_generated_detail_93
2025-11-08 17:15:11,bob,10.0.0.34,login_success,auto_generated_detail_94
2025-11-08 17:19:55,bob,10.0.0.3,login_success,auto_generated_detail_95
2025-11-08 17:22:18,alice,10.0.0.18,login_success,auto_generated_detail_96
2025-11-08 17:26:10,bob,10.0.0.22,login_success,auto_generated_detail_97
2025-11-08 17:30:41,alice,10.0.0.38,login_success,auto_generated_detail_98
2025-11-08 17:31:13,dave,10.0.0.2,login_failed,auto_generated_detail_99
2025-11-08 17:35:58,dave,10.0.0.49,config_change,auto_generated_detail_100
2025-11-08 17:37:48,bob,10.0.0.6,external_transfer,auto_generated_detail_101
2025-11-08 17:40:47,carol,10.0.0.44,file_download,auto_generated_detail_102
2025-11-08 17:43:30,carol,10.0.0.44,login_success,auto_generated_detail_103
2025-11-08 17:47:06,dave,10.0.0.37,login_success,auto_generated_detail_104
2025-11-08 17:50:51,carol,10.0.0.26,file_access,auto_generated_detail_105
2025-11-08 17:52:30,carol,10.0.0.21,login_success,auto_generated_detail_106
2025-11-08 17:52:40,bob,10.0.0.15,login_success,auto_generated_detail_107
